"Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"NASA",1935,-0.0361805555555555,0.0409722222222222,0.0966180555555555,NA
"NASA",1936,0.0271527777777778,0.101486111111111,0.108902777777778,NA
"NASA",1937,0.18,0.109763888888889,0.0991736111111111,NA
"NASA",1938,0.238263888888889,0.155541666666667,0.116458333333333,NA
"NASA",1939,0.139583333333333,0.185472222222222,0.143416666666667,NA
"NASA",1940,0.192708333333333,0.169972222222222,0.137409722222222,NA
"NASA",1941,0.176805555555556,0.161125,0.156125,NA
"NASA",1942,0.1025,0.171055555555556,0.152319444444444,NA
"NASA",1943,0.194027777777778,0.14125,0.145625,NA
"NASA",1944,0.189236111111111,0.121291666666667,0.131305555555556,NA
"NASA",1945,0.0436805555555555,0.132277777777778,0.0993333333333333,NA
"NASA",1946,0.0770138888888889,0.115430555555556,0.0590902777777778,NA
"NASA",1947,0.157430555555556,0.0646388888888889,0.0602777777777778,NA
"NASA",1948,0.109791666666667,0.012,0.0642291666666667,NA
"NASA",1949,-0.0647222222222222,-0.00456944444444444,0.0361736111111111,NA
"NASA",1950,-0.219513888888889,-0.0114027777777778,0.0364652777777778,NA
"NASA",1951,-0.00583333333333334,-0.00681944444444445,0.00488194444444444,NA
"NASA",1952,0.123263888888889,0.0031111111111111,-0.0212777777777778,NA
"NASA",1953,0.132708333333333,0.0383611111111111,-0.0203194444444445,NA
"NASA",1954,-0.0150694444444445,-0.0176805555555556,-0.013875,NA
"NASA",1955,-0.0432638888888889,-0.0321388888888889,-0.00760416666666667,NA
"NASA",1956,-0.286041666666667,-0.0315694444444445,0.0234583333333333,NA
"NASA",1957,0.0509722222222222,-0.0234583333333333,0.0208125,NA
"NASA",1958,0.135555555555556,-0.023375,0.0164861111111111,NA
"NASA",1959,0.0254861111111111,0.0650972222222222,0.0143541666666667,NA
"NASA",1960,-0.0428472222222222,0.0684305555555556,-0.00984027777777778,NA
"NASA",1961,0.156319444444444,0.0680138888888889,0.00620138888888889,NA
"NASA",1962,0.0676388888888889,0.0264027777777778,0.0201736111111111,NA
"NASA",1963,0.133472222222222,0.00731944444444445,0.00025,NA
"NASA",1964,-0.182569444444444,-0.0297916666666667,-0.0310138888888889,NA
"NASA",1965,-0.138263888888889,-0.0446388888888889,-0.0119166666666667,NA
"NASA",1966,-0.0292361111111111,-0.101416666666667,-0.0310138888888889,NA
"NASA",1967,-0.00659722222222222,-0.0744444444444444,-0.0548402777777778,NA
"NASA",1968,-0.150416666666667,-0.0403611111111111,-0.0503194444444444,NA
"NASA",1969,-0.0477083333333333,-0.060375,-0.0532638888888889,NA
"NASA",1970,0.0321527777777778,-0.0622777777777778,-0.0320347222222222,NA
"NASA",1971,-0.129305555555556,-0.00573611111111112,-0.0428819444444444,NA
"NASA",1972,-0.0161111111111111,-0.0118888888888889,-0.0457152777777778,NA
"NASA",1973,0.132291666666667,-0.0201388888888889,-0.0379166666666667,NA
"NASA",1974,-0.0784722222222222,-0.0433194444444445,-0.0208888888888889,NA
"NASA",1975,-0.00909722222222222,-0.0180277777777778,-0.00789583333333334,NA
"NASA",1976,-0.245208333333333,-0.0508333333333333,0.0451736111111111,NA
"NASA",1977,0.110347222222222,-0.0238611111111111,0.0688472222222223,NA
"NASA",1978,-0.0317361111111111,0.0528055555555555,0.0777777777777778,NA
"NASA",1979,0.0563888888888889,0.168416666666667,0.102513888888889,NA
"NASA",1980,0.374236111111111,0.163472222222222,0.0973472222222223,NA
"NASA",1981,0.332847222222222,0.228263888888889,0.130236111111111,NA
"NASA",1982,0.085625,0.228986111111111,0.157256944444444,NA
"NASA",1983,0.292222222222222,0.162305555555556,0.19475,NA
"NASA",1984,0.06,0.128541666666667,0.237215277777778,NA
"NASA",1985,0.0408333333333333,0.175583333333333,0.261381944444444,NA
"NASA",1986,0.164027777777778,0.212208333333333,0.2721875,NA
"NASA",1987,0.320833333333333,0.270972222222222,0.300597222222222,NA
"NASA",1988,0.475347222222222,0.371916666666667,0.290618055555556,NA
"NASA",1989,0.353819444444444,0.447111111111111,0.289680555555556,NA
"NASA",1990,0.545555555555556,0.422,0.352201388888889,NA
"NASA",1991,0.54,0.354236111111111,0.379729166666667,NA
"NASA",1992,0.195277777777778,0.365847222222222,0.400215277777778,NA
"NASA",1993,0.136527777777778,0.367763888888889,0.425923611111111,NA
"NASA",1994,0.411875,0.336472222222222,0.4559375,NA
"NASA",1995,0.555138888888889,0.3995,0.467638888888889,NA
"NASA",1996,0.383541666666667,0.529,0.464201388888889,NA
"NASA",1997,0.510416666666667,0.563152777777778,0.518548611111111,NA
"NASA",1998,0.784027777777778,0.559986111111111,0.579756944444445,NA
"NASA",1999,0.582638888888889,0.630611111111111,0.638583333333333,NA
"NASA",2000,0.539305555555555,0.702819444444444,0.663791666666666,NA
"NASA",2001,0.736666666666667,0.702625,0.708659722222222,NA
"NASA",2002,0.871458333333333,0.731472222222222,0.770965277777777,NA
"NASA",2003,0.783055555555556,0.811819444444445,0.781138888888889,NA
"NASA",2004,0.726875,0.846666666666667,0.7969375,NA
"NASA",2005,0.941041666666667,0.865083333333333,0.831638888888889,NA
"NASA",2006,0.910902777777778,0.864347222222222,NA,NA
"NASA",2007,0.963541666666667,0.895291666666667,NA,NA
"NASA",2008,0.779375,0.890208333333333,NA,NA
"NASA",2009,0.881597222222222,NA,NA,NA
"NASA",2010,0.915625,NA,NA,NA
"NASA",2011,NA,NA,NA,NA
"CRUTEM3",1850,-0.3327,NA,NA,NA
"CRUTEM3",1851,0.0813,NA,NA,NA
"CRUTEM3",1852,-0.1157,NA,NA,NA
"CRUTEM3",1853,-0.3057,NA,NA,NA
"CRUTEM3",1854,0.2233,NA,-0.1381,NA
"CRUTEM3",1855,-0.0187,NA,-0.131,NA
"CRUTEM3",1856,-0.2767,NA,-0.1599,NA
"CRUTEM3",1857,-0.1547,NA,-0.1981,NA
"CRUTEM3",1858,-0.3087,NA,-0.1917,NA
"CRUTEM3",1859,-0.1727,NA,-0.2679,NA
"CRUTEM3",1860,-0.2617,NA,-0.2863,NA
"CRUTEM3",1861,-0.2077,NA,-0.2853,NA
"CRUTEM3",1862,-0.4977,NA,-0.299,NA
"CRUTEM3",1863,-0.2417,NA,-0.2905,NA
"CRUTEM3",1864,-0.5387,NA,-0.2912,NA
"CRUTEM3",1865,-0.2027,NA,-0.285,NA
"CRUTEM3",1866,-0.2667,NA,-0.2972,NA
"CRUTEM3",1867,-0.2917,NA,-0.2547,NA
"CRUTEM3",1868,-0.2237,NA,-0.2446,NA
"CRUTEM3",1869,-0.1797,NA,-0.2207,NA
"CRUTEM3",1870,-0.1997,NA,-0.2518,NA
"CRUTEM3",1871,-0.3297,NA,-0.2419,NA
"CRUTEM3",1872,-0.0727,NA,-0.2104,NA
"CRUTEM3",1873,-0.1407,NA,-0.1687,NA
"CRUTEM3",1874,-0.2997,NA,-0.1817,NA
"CRUTEM3",1875,-0.5137,NA,-0.1689,NA
"CRUTEM3",1876,-0.1677,NA,-0.1578,NA
"CRUTEM3",1877,0.0233,NA,-0.1547,NA
"CRUTEM3",1878,0.1933,NA,-0.1731,NA
"CRUTEM3",1879,-0.3097,NA,-0.1882,NA
"CRUTEM3",1880,-0.0717,NA,-0.178,NA
"CRUTEM3",1881,-0.2187,NA,-0.1941,NA
"CRUTEM3",1882,-0.0417,NA,-0.2389,NA
"CRUTEM3",1883,-0.3247,NA,-0.2975,NA
"CRUTEM3",1884,-0.4507,NA,-0.2812,NA
"CRUTEM3",1885,-0.4117,NA,-0.312,NA
"CRUTEM3",1886,-0.3287,NA,-0.3394,NA
"CRUTEM3",1887,-0.4247,NA,-0.3856,NA
"CRUTEM3",1888,-0.3927,NA,-0.4129,NA
"CRUTEM3",1889,-0.1467,NA,-0.4133,NA
"CRUTEM3",1890,-0.3797,NA,-0.4187,NA
"CRUTEM3",1891,-0.4927,NA,-0.4146,NA
"CRUTEM3",1892,-0.5037,NA,-0.3928,NA
"CRUTEM3",1893,-0.5977,NA,-0.3838,NA
"CRUTEM3",1894,-0.4547,NA,-0.3928,NA
"CRUTEM3",1895,-0.4657,NA,-0.3626,NA
"CRUTEM3",1896,-0.2877,NA,-0.3223,NA
"CRUTEM3",1897,-0.2067,NA,-0.2982,NA
"CRUTEM3",1898,-0.3027,NA,-0.2721,NA
"CRUTEM3",1899,-0.2367,NA,-0.2745,NA
"CRUTEM3",1900,-0.0777,NA,-0.2627,NA
"CRUTEM3",1901,-0.0897,NA,-0.2473,NA
"CRUTEM3",1902,-0.2627,NA,-0.2789,NA
"CRUTEM3",1903,-0.3367,NA,-0.2882,NA
"CRUTEM3",1904,-0.4787,NA,-0.3017,NA
"CRUTEM3",1905,-0.3477,NA,-0.3189,NA
"CRUTEM3",1906,-0.1337,NA,-0.3468,NA
"CRUTEM3",1907,-0.5227,NA,-0.3501,NA
"CRUTEM3",1908,-0.3957,NA,-0.3403,NA
"CRUTEM3",1909,-0.3717,NA,-0.2898,NA
"CRUTEM3",1910,-0.2497,NA,-0.2534,NA
"CRUTEM3",1911,-0.3687,NA,-0.2666,NA
"CRUTEM3",1912,-0.2957,NA,-0.2744,NA
"CRUTEM3",1913,-0.2387,NA,-0.2734,NA
"CRUTEM3",1914,0.0263,NA,-0.2525,NA
"CRUTEM3",1915,0.0163,NA,-0.2486,NA
"CRUTEM3",1916,-0.2657,NA,-0.2184,NA
"CRUTEM3",1917,-0.6007,NA,-0.2057,NA
"CRUTEM3",1918,-0.3857,NA,-0.2017,NA
"CRUTEM3",1919,-0.1627,NA,-0.2326,NA
"CRUTEM3",1920,-0.2107,NA,-0.2535,NA
"CRUTEM3",1921,-0.0667,NA,-0.2229,NA
"CRUTEM3",1922,-0.1687,NA,-0.1771,NA
"CRUTEM3",1923,-0.1987,NA,-0.145,NA
"CRUTEM3",1924,-0.2827,NA,-0.1634,NA
"CRUTEM3",1925,-0.1927,NA,-0.147,NA
"CRUTEM3",1926,0.0403,NA,-0.1442,NA
"CRUTEM3",1927,-0.1427,NA,-0.1251,NA
"CRUTEM3",1928,-0.0647,NA,-0.1249,NA
"CRUTEM3",1929,-0.3467,NA,-0.0942,NA
"CRUTEM3",1930,-0.0467,NA,-0.0828,NA
"CRUTEM3",1931,-0.0387,NA,-0.089,NA
"CRUTEM3",1932,0.0223,NA,-0.0723,NA
"CRUTEM3",1933,-0.1967,NA,-0.0456,NA
"CRUTEM3",1934,0.0243,NA,-0.00770000000000001,NA
"CRUTEM3",1935,-0.0787,NA,0.00289999999999999,NA
"CRUTEM3",1936,-0.0217,NA,0.0145,NA
"CRUTEM3",1937,0.0243,NA,0.0185,NA
"CRUTEM3",1938,0.2023,NA,0.0402,NA
"CRUTEM3",1939,0.0323,NA,0.0552,NA
"CRUTEM3",1940,0.0593,NA,0.0613,NA
"CRUTEM3",1941,0.0773,NA,0.0645,NA
"CRUTEM3",1942,0.0623,NA,0.0692,NA
"CRUTEM3",1943,0.0203,NA,0.0523,NA
"CRUTEM3",1944,0.1743,NA,0.0435,NA
"CRUTEM3",1945,-0.0177,NA,0.0148,NA
"CRUTEM3",1946,0.0103,NA,0.00329999999999999,NA
"CRUTEM3",1947,0.0713,NA,0.00239999999999999,NA
"CRUTEM3",1948,0.0333,NA,0.0154,NA
"CRUTEM3",1949,-0.0557,NA,-0.0115,NA
"CRUTEM3",1950,-0.2277,NA,-0.0211,NA
"CRUTEM3",1951,-0.0377,NA,-0.0562,NA
"CRUTEM3",1952,0.0533,NA,-0.0592,NA
"CRUTEM3",1953,0.1503,NA,-0.0455,NA
"CRUTEM3",1954,-0.0947,NA,-0.0318,NA
"CRUTEM3",1955,-0.1137,NA,-0.0098,NA
"CRUTEM3",1956,-0.3407,NA,0.00749999999999999,NA
"CRUTEM3",1957,0.0413,NA,0.0115,NA
"CRUTEM3",1958,0.1703,NA,0.00629999999999999,NA
"CRUTEM3",1959,0.0813,NA,-0.0038,NA
"CRUTEM3",1960,-0.00770000000000001,NA,-0.00330000000000001,NA
"CRUTEM3",1961,0.1353,NA,0.0278,NA
"CRUTEM3",1962,0.0933,NA,0.021,NA
"CRUTEM3",1963,0.0983,NA,-0.00790000000000001,NA
"CRUTEM3",1964,-0.1957,NA,-0.0127,NA
"CRUTEM3",1965,-0.1087,NA,-0.00480000000000001,NA
"CRUTEM3",1966,-0.0297,NA,-0.0295,NA
"CRUTEM3",1967,-0.0267,NA,-0.047,NA
"CRUTEM3",1968,-0.1187,NA,-0.0324,NA
"CRUTEM3",1969,0.0333,NA,-0.0339,NA
"CRUTEM3",1970,0.0713,NA,-0.0253,NA
"CRUTEM3",1971,-0.1117,NA,-0.0501,NA
"CRUTEM3",1972,-0.0817,NA,-0.0301,NA
"CRUTEM3",1973,0.2443,NA,-0.014,NA
"CRUTEM3",1974,-0.2107,NA,-0.00180000000000001,NA
"CRUTEM3",1975,-0.0227,NA,0.0146,NA
"CRUTEM3",1976,-0.2777,NA,0.0599,NA
"CRUTEM3",1977,0.1733,NA,0.079,NA
"CRUTEM3",1978,0.0423,NA,0.0954,NA
"CRUTEM3",1979,0.1553,NA,0.1199,NA
"CRUTEM3",1980,0.2353,NA,0.1306,NA
"CRUTEM3",1981,0.3413,NA,0.1793,NA
"CRUTEM3",1982,0.1093,NA,0.1999,NA
"CRUTEM3",1983,0.4083,NA,0.2397,NA
"CRUTEM3",1984,0.0343,NA,0.2533,NA
"CRUTEM3",1985,0.0843,NA,0.2821,NA
"CRUTEM3",1986,0.2093,NA,0.2915,NA
"CRUTEM3",1987,0.3793,NA,0.299,NA
"CRUTEM3",1988,0.4403,NA,0.2849,NA
"CRUTEM3",1989,0.2913,NA,0.324,NA
"CRUTEM3",1990,0.5233,NA,0.3716,NA
"CRUTEM3",1991,0.4353,NA,0.3803,NA
"CRUTEM3",1992,0.1843,NA,0.3979,NA
"CRUTEM3",1993,0.2673,NA,0.4451,NA
"CRUTEM3",1994,0.4253,NA,0.4741,NA
"CRUTEM3",1995,0.5603,NA,0.4671,NA
"CRUTEM3",1996,0.2963,NA,0.488,NA
"CRUTEM3",1997,0.5553,NA,0.5452,NA
"CRUTEM3",1998,0.9123,NA,0.5923,NA
"CRUTEM3",1999,0.5813,NA,0.6201,NA
"CRUTEM3",2000,0.4533,NA,0.648,NA
"CRUTEM3",2001,0.6443,NA,0.6945,NA
"CRUTEM3",2002,0.7563,NA,0.716,NA
"CRUTEM3",2003,0.7383,NA,0.6868,NA
"CRUTEM3",2004,0.7033,NA,0.7021,NA
"CRUTEM3",2005,0.8393,NA,0.737,NA
"CRUTEM3",2006,0.7613,NA,0.7345,NA
"CRUTEM3",2007,0.7703,NA,NA,NA
"CRUTEM3",2008,0.6203,NA,NA,NA
"CRUTEM3",2009,0.7343,NA,NA,NA
"CRUTEM3",2010,0.8023,NA,NA,NA
"CRUTEM3",2011,0.6193,NA,NA,NA
